Tumor,Cluster,Cohen's d,AdjP,RankbyES
BRCA,CL1,0.315,0.019056324790965428,1.0
KIPAN,CL1,0.285,0.042927252522744666,12.0
KIPAN,CL2,0.27,0.04111780233147736,14.5
KIPAN,CL3,0.3278888888888889,0.017432992025164174,8.222222222222221
KIPAN,CL4,0.36566666666666664,0.01677343860297689,7.333333333333333
KIPAN,CL5,0.31,0.027823636484351925,8.0
