,Tumor,Cluster,Gene,Cohen's d,AdjP
1713,BRCA,CL4,KCNJ5,0.399,5.590234193455257e-07
3131,COLO,CL2,CNTN4,1.158,3.669017537025154e-27
6078,GLIOMA,CL3,CCDC19,0.613,4.10979263372254e-12
8566,KIPAN,CL3,C2orf81,0.509,1.076274803985855e-10
