Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_ACNOCL_W0_S4_Epo55.hdf5,0.372093023255814,2.1339936862073228,3.351778772214617,0.19,0.3625,0.11148612106075034,0.17766016541968074,0.0,0.0,0.7255080907005755,0.0,0.0,0.0,0.0,0.7255080907005755,0.0
M04_RCFR_ACNOCL_W0_S3_Epo55.hdf5,0.372093023255814,2.1339936862073228,3.358863445100092,0.22,0.4175,0.11608981738990723,0.18715151337880465,0.0,0.0,1.0,0.16666666666666666,0.6111111111111108,0.31672674805821915,0.6521038034776987,2.7466083293136956,0.0
M04_RCFR_ACNOCL_W0_S2_Epo55.hdf5,0.372093023255814,2.1339936862073228,3.333053311374997,0.37,0.4525,0.11677471145104393,0.19012021464225434,0.0,0.0,0.0,1.0,1.0,0.36384633485076084,0.856068655848709,3.21991499069947,0.0
M04_RCFR_ACNOCL_W0_S5_Epo55.hdf5,0.372093023255814,2.1339936862073228,3.341116213805816,0.26,0.425,0.12602135168898468,0.19221513030181472,0.0,0.0,0.3123928963986627,0.38888888888888895,0.6944444444444443,1.0,1.0,3.395726229731996,0.0
M04_RCFR_ACNOCL_W0_S1_Epo55.hdf5,0.3760932944606414,2.1462089154776702,3.349087860487246,0.26,0.4175,0.11965936713749402,0.18488442348326356,1.0,1.0,0.6212501369823855,0.38888888888888895,0.6111111111111108,0.5623059093996997,0.4963432149843587,4.679899261366443,0.0
