Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M02_RCFR_S5_Epo22.hdf5,0.3911111111111111,2.7340241328830293,3.338648910622544,0.16666666666666666,0.3954444444444444,0.10551964910900433,0.25826354313028416,0.17667774406395936,0.6791690026717897,0.732397907390685,0.15476190476190585,0.0,0.0,0.6801650067126465,2.4231715656009865,0.0
M02_RCFR_S3_Epo22.hdf5,0.38495575221238937,2.774515096789876,3.261413203487245,0.16644444444444445,0.4012777777777778,0.10697752400863768,0.26235293394121884,0.0,1.0,0.0,0.14285714285714476,0.2800000000000026,0.1542905049664777,1.0,2.577147647823625,0.0
M02_RCFR_S4_Epo22.hdf5,0.41628959276018107,2.6523011086559243,3.3668691398790718,0.17,0.4093888888888889,0.1135476770775493,0.2554642405083761,0.8993776564341881,0.03163491512130879,1.0,0.3333333333333353,0.6693333333333348,0.8496260477928003,0.46122898991199035,4.2445342759269575,0.0
M02_RCFR_S1_Epo22.hdf5,0.4099099099099099,2.7527385983308656,3.3640387294819134,0.16377777777777774,0.4075555555555556,0.11374169619084888,0.25442989504767355,0.7162611245836213,0.8274534601104132,0.9731602554204076,0.0,0.5813333333333369,0.8701595702312958,0.38033188597269146,4.348699629651766,0.0
M02_RCFR_S2_Epo22.hdf5,0.4197952218430034,2.6483085760856917,3.3661496313011736,0.18244444444444444,0.4162777777777778,0.11496854487838495,0.2495669946388843,1.0,0.0,0.9931771638229565,1.0,1.0,1.0,0.0,4.993177163822956,0.0
