,Tumor,Cluster,Gene,Cohen's d,AdjP
2286,BRCA,CL5,MIR320A,0.479,6.999950012775535e-08
3618,COLO,CL3,DKFZP586I1420,0.559,2.737825389645309e-06
6945,GLIOMA,CL4,TTC21B,0.579,6.541171458375404e-07
8986,KIPAN,CL3,ZNF548,0.803,3.288085744741205e-17
