Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_ACNOCOMX_W10_S1_Epo46.hdf5,0.4394463667820069,2.4949876991786697,3.2280675201904607,0.2167832167832168,0.4801864801864802,0.11361968740686824,0.20592138026483647,0.0,1.0,0.0,0.17868698465713517,0.0,0.1478741203539676,0.0,1.3265611050111028,0.0
M04_RCFR_ACNOCOMX_W10_S2_Epo46.hdf5,0.4444444444444444,2.3753358580436323,3.2441461529766444,0.21311475409836064,0.481264637002342,0.11328603364494595,0.20932763875605012,0.6655092592592591,0.38277844238138486,0.12929817490241624,0.0,0.23126463700235705,0.0,0.7447606082406596,2.153611121786077,0.0
M04_RCFR_ACNOCOMX_W10_S5_Epo46.hdf5,0.4444444444444444,2.3979259250399547,3.2740024978187807,0.2191142191142191,0.4836829836829837,0.1138061866494507,0.2103785714905052,0.6655092592592591,0.499308837617368,0.3693914060049132,0.2922276728246878,0.7499999999999881,0.23052989886122624,0.9745415554446738,3.781508630012116,0.0
M04_RCFR_ACNOCOMX_W10_S3_Epo46.hdf5,0.4444444444444444,2.4069246222804472,3.2478304000146623,0.2336448598130841,0.4836448598130842,0.11505022636222008,0.20991361324347946,0.6655092592592591,0.5457284319556344,0.15892547121797604,1.0,0.7418224299065483,0.7818837249092541,0.8728808659360432,4.766750183184715,0.0
M04_RCFR_ACNOCOMX_W10_S4_Epo46.hdf5,0.4469565217391304,2.3011321222660905,3.3524206504517235,0.2331002331002331,0.4848484848484849,0.1155423700554255,0.21049500896313755,1.0,0.0,1.0,0.9734718018300104,1.0,1.0,1.0,5.97347180183001,0.0
