Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M01_CFR_S2_Epo51.hdf5,0.00425531914893617,0.2705306857376534,4.335129358742087,0.0011111111111111113,0.06861111111111111,0.4183466200154916,0.8754895050951882,0.0,0.004184838792454084,0.0,0.0,0.009259259259258627,0.987649350686932,0.7876532481492873,1.788746696887932,0.991
M01_CFR_S5_Epo51.hdf5,0.00425531914893617,0.2705306857376534,4.335129358742087,0.0011111111111111113,0.0685,0.4185420139796512,0.8756192913914065,0.0,0.004184838792454084,0.0,0.0,0.0,1.0,0.7903718079732795,1.7945566467657337,0.991
M01_CFR_S4_Epo63.hdf5,0.00425531914893617,0.27014787002966045,4.576511571113958,0.0026666666666666666,0.07455555555555557,0.4162553777227516,0.8394464323320392,0.0,0.0,0.9134566496902038,1.0,0.5046296296296304,0.855464099738266,0.03267947663243032,3.306229855690531,0.99
M01_CFR_S3_Epo63.hdf5,0.00425531914893617,0.36162468119935215,4.599380773906381,0.0026666666666666666,0.07494444444444444,0.41306725611455264,0.8378862870679755,0.0,1.0,1.0,1.0,0.5370370370370362,0.6539462477429865,0.0,4.190983284780023,0.99
M01_CFR_S1_Epo59.hdf5,0.006396588486140725,0.3321575924046765,4.560076841353633,0.0013333333333333333,0.0805,0.4027214721436174,0.8856271147933321,1.0,0.6778736772971516,0.85126311422661,0.1428571428571427,1.0,0.0,1.0,4.671993934380904,0.991
