Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_AC_W20_S5_Epo20.hdf5,0.5011990407673861,1.7470854783241168,3.5012594509430315,0.002,0.037500000000000006,0.10164715379157843,0.21717531110989752,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
M04_RCFR_AC_W20_S2_Epo16.hdf5,0.5072463768115942,2.361160589160737,3.8007539088882853,0.0,0.048,0.08774448661166029,0.1885634444952151,0.6885422501831386,1.0,0.5680686130085564,0.0,0.8399999999999999,0.04559894650653698,0.06095700094343403,3.203166810641666,0.0
M04_RCFR_AC_W20_S3_Epo16.hdf5,0.5099818511796733,2.361160589160737,3.795463018266752,0.0,0.0475,0.08807541114159761,0.18880075593780907,1.0,1.0,0.5580330720587339,0.0,0.7999999999999998,0.06831650968428638,0.06874557523552637,3.4950951569785462,0.0
M04_RCFR_AC_W20_S4_Epo16.hdf5,0.5072463768115942,2.361160589160737,3.935434758640132,0.0,0.05,0.08708025119960286,0.18670613489173915,0.6885422501831386,1.0,0.823525638965713,0.0,1.0,0.0,0.0,3.5120678891488515,0.0
M04_RCFR_AC_W20_S1_Epo16.hdf5,0.5099818511796733,2.361160589160737,4.0284747398833884,0.0,0.048,0.0898692902598702,0.18737123084216464,1.0,1.0,1.0,0.0,0.8399999999999999,0.19146411137558714,0.02182848481571757,4.053292596191304,0.0
