Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_ACNOCOMX_W0_S4_Epo22.hdf5,0.4222222222222222,2.3104130399780543,3.0856394428791036,0.154,0.42100000000000004,0.1207655173387207,0.2597393064037556,0.9501301548157286,0.4290941689338176,0.8735881957439883,0.0,0.09523809523810267,0.0955719071686036,0.008362452185162208,2.4519849740854025,0.0
M04_RCFR_ACNOCOMX_W0_S1_Epo22.hdf5,0.4246575342465753,2.3104130399780543,3.115745125109436,0.158,0.419,0.12009105350998275,0.2595475498291833,1.0,0.4290941689338176,1.0,0.13333333333333347,5.286776307738808e-15,0.0,0.0008695607916990275,2.5632970630588554,0.0
M04_RCFR_ACNOCOMX_W0_S2_Epo22.hdf5,0.4222222222222222,2.3920654937485573,3.1060525563217203,0.156,0.4189999999999999,0.12224539879319528,0.25952529620370784,0.9501301548157286,1.0,0.9593015332136808,0.06666666666666674,0.0,0.3052719488331615,0.0,3.281370303529238,0.0
M04_RCFR_ACNOCOMX_W0_S5_Epo24.hdf5,0.3758241758241758,2.2490428631721366,2.877589500264767,0.184,0.44,0.1271481882760399,0.28511709575115024,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0
M04_RCFR_ACNOCOMX_W0_S3_Epo24.hdf5,0.3758241758241758,2.2490428631721366,2.922516467510474,0.182,0.44,0.12635552300522854,0.28498011411711,0.0,0.0,0.18864541736106094,0.9333333333333332,1.0,0.8876788814316159,0.9946474403339122,4.004305072459922,0.0
