Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_AC_W0_S5_Epo52.hdf5,0.3936348408710218,2.3951802469501917,3.352451399070949,0.1957142857142857,0.3757142857142857,0.11419553490397785,0.17473389327312586,0.5217057509771083,0.747751402196224,0.9586523632039098,0.0,0.0,0.0,0.0,2.228109516377242,0.0
M04_RCFR_AC_W0_S1_Epo53.hdf5,0.3354735152487961,2.446300774406685,3.100897545941928,0.20199999999999999,0.3983571428571429,0.12085722449333312,0.18757684670864136,0.0,1.0,0.35126247910647174,0.059782608695652134,0.19400244798041663,0.6246057836311384,0.34520957092810645,2.5748628903417856,0.0
M04_RCFR_AC_W0_S4_Epo52.hdf5,0.3936348408710218,2.4114732979419244,3.3695757497164847,0.2037142857142857,0.3813571428571429,0.11563369045647028,0.17672888417095697,0.5217057509771083,0.8281476631719698,1.0,0.07608695652173918,0.04834761321909452,0.1348427097659079,0.053623954591416334,2.662754648247236,0.0
M04_RCFR_AC_W0_S2_Epo52.hdf5,0.38666666666666666,2.430585484092144,3.3655980945182424,0.22171428571428567,0.3837142857142857,0.11849633369682434,0.17689237173153666,0.4592013888888891,0.9224546352872439,0.9903957442917769,0.24728260869565177,0.0685434516523864,0.4032466184762178,0.05801838543033264,3.1491428327224993,0.0
M04_RCFR_AC_W0_S3_Epo55.hdf5,0.4469565217391304,2.2436414617223788,2.955420262911132,0.3008571428571429,0.4924285714285714,0.12486096542661505,0.2119372460103829,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0
