Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M02_RCFR_S5_Epo22.hdf5,0.3911111111111111,2.7340241328830293,3.338648910622544,0.13133333333333333,0.3918333333333333,0.1051163035354262,0.26440330867306894,0.17667774406395936,0.6791690026717897,0.732397907390685,0.20000000000000018,0.0,0.0,0.6606562272690537,2.4489008813954882,0.0
M02_RCFR_S3_Epo22.hdf5,0.38495575221238937,2.774515096789876,3.261413203487245,0.13066666666666665,0.39566666666666667,0.10698949681059516,0.2683908367152628,0.0,1.0,0.0,0.17777777777777765,0.15540540540540626,0.2291141382116181,1.0,2.562297321394802,0.0
M02_RCFR_S1_Epo22.hdf5,0.4099099099099099,2.7527385983308656,3.3640387294819134,0.12533333333333332,0.402,0.11224459268184428,0.2606009021325908,0.7162611245836213,0.8274534601104132,0.9731602554204076,0.0,0.41216216216216395,0.8718757676286726,0.3370665327893725,4.137979302694651,0.0
M02_RCFR_S4_Epo22.hdf5,0.41628959276018107,2.6523011086559243,3.3668691398790718,0.14,0.4061666666666667,0.11263529167075455,0.2619542530647162,0.8993776564341881,0.03163491512130879,1.0,0.48888888888888965,0.5810810810810823,0.9196629678770036,0.45223844036640504,4.372883949768877,0.0
M02_RCFR_S2_Epo22.hdf5,0.4197952218430034,2.6483085760856917,3.3661496313011736,0.15533333333333332,0.4165,0.11329211184560048,0.2566401332616431,1.0,0.0,0.9931771638229565,1.0,1.0,1.0,0.0,4.993177163822956,0.0
