Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_AC_W10_S2_Epo43.hdf5,0.41496598639455773,2.040951875824604,3.4915181077342985,0.28204237582493924,0.4525877040639111,0.11894418038700337,0.18440646405845626,0.7945578231292499,0.7168504974264776,1.0,0.0,0.0,0.0,0.0,2.5114083205557276,0.0
M04_RCFR_AC_W10_S5_Epo43.hdf5,0.4246575342465753,2.024078682929256,3.3767424140665523,0.30163137799375217,0.4532280458174245,0.12161557241675708,0.18581678116861405,1.0,0.637875698650324,0.7387674978464208,0.10256970605028705,0.007279734194924634,0.06617896606637005,0.05430722135435002,2.606978824162676,0.0
M04_RCFR_AC_W10_S3_Epo44.hdf5,0.3774834437086093,1.8877947053392845,3.052155881665395,0.4382178907065785,0.5296728158719108,0.15931035998362328,0.2085504454916562,0.0,0.0,0.0,0.8177484751706828,0.8763431734215897,1.0,0.9297146965205594,3.6238063451128317,0.0
M04_RCFR_AC_W10_S4_Epo44.hdf5,0.39130434782608703,1.979977583811624,3.2352431036014098,0.4525043177892919,0.5322970639032816,0.15722748708548268,0.2084940107228308,0.29297658862876363,0.4314609761835155,0.4167113399213841,0.8925534404136659,0.9061769739275148,0.9484005442438498,0.9275415572594616,4.815821420578156,0.0
M04_RCFR_AC_W10_S1_Epo44.hdf5,0.38898163606010017,2.1014475814064144,3.2683648761547435,0.4730247128437174,0.5405499477897668,0.15801054657485844,0.21037570120567825,0.2437395659432382,1.0,0.4920973667304784,1.0,1.0,0.967799444442008,1.0,5.703636377115725,0.0
