Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_AC_W20_S2_Epo22.hdf5,0.4622144112478031,1.6103384063655577,2.6293643077223603,0.276978417266187,0.5122302158273382,0.1344619964774523,0.2551516062994327,1.0,1.0,0.12940298737077455,0.0,0.0,0.0,0.0,2.1294029873707747,0.0
M04_RCFR_AC_W20_S3_Epo49.hdf5,0.2760736196319018,1.356626579246556,2.640164733122745,0.3569661995053586,0.61479802143446,0.1676507789113381,0.354163627035287,0.03044300185475839,0.0,0.17764999787545546,0.615570680062537,0.6892642150549128,0.955539639125094,0.8890726989090895,3.357540232881847,0.001
M04_RCFR_AC_W20_S1_Epo49.hdf5,0.2741194486983154,1.359123468696298,2.6003965582791198,0.4006595218466611,0.652308326463314,0.1689762188411907,0.3665171007717566,0.02026425442501518,0.00984143891948319,0.0,0.9518261355195278,0.9413365958487178,0.9937004362190017,1.0,3.9169688609317457,0.004
M04_RCFR_AC_W20_S5_Epo49.hdf5,0.2741194486983154,1.362681288462342,2.6595193756026423,0.4006595218466611,0.6300494641384996,0.1684809464825485,0.3557444242608745,0.02026425442501518,0.02386451307587716,0.2641098922244937,0.9518261355195278,0.7917551830699764,0.9794410287885432,0.9032673759325042,3.9345283830359374,0.001
M04_RCFR_AC_W20_S4_Epo50.hdf5,0.2702290076335877,1.3625423780224195,2.824253441584604,0.4069192751235584,0.6610378912685337,0.1691950217491971,0.355184555642645,0.0,0.023317000405695724,1.0,1.0,1.0,1.0,0.8982400681395268,4.921557068545223,0.0
