,Tumor,Cluster,Gene,Cohen's d,AdjP
345,BRCA,CL4,KCNJ5,0.399,1.9672489430485756e-07
604,COLO,CL2,ANGPT1,1.103,6.747839016600706e-25
1111,GLIOMA,CL2,C11orf63,0.572,1.4305876168460723e-09
1744,KIPAN,CL3,KDELC1,0.494,8.655530058853942e-10
