Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_ACnosim_W0_S5_Epo46.hdf5,0.4457142857142857,2.7792025980331023,3.3617180729239124,0.0,0.042,0.14022681672028264,0.20785119241787656,0.26024247903994674,0.0,0.0,0.0,0.13793103448275862,0.9916494637633444,1.0,2.38982297728605,0.0
M04_RCFR_ACnosim_W0_S3_Epo40.hdf5,0.4259818731117825,2.8665758598532998,3.68465093182337,0.0,0.024,0.140741308296895,0.18268517956284375,0.0,0.2147182386887671,0.5442942854109318,0.0,0.0,1.0,0.6994003172900116,2.458412841389711,0.0
M04_RCFR_ACnosim_W0_S1_Epo72.hdf5,0.4964028776978418,3.112650120678239,3.9550236937162553,0.0,0.1545,0.079129507326087,0.1272481386158565,0.9287529700060442,0.8194413630205789,1.0,0.0,1.0,0.0,0.03722323683475827,3.7854175698613814,0.0
M04_RCFR_ACnosim_W0_S2_Epo73.hdf5,0.4883720930232558,3.1861231388952342,3.7543731807214784,0.002,0.1415,0.08077399277761199,0.12413183307539714,0.8228383332887301,1.0,0.6618091823792032,1.0,0.900383141762452,0.026691079072727504,0.0,4.411721736503113,0.0
M04_RCFR_ACnosim_W0_S4_Epo73.hdf5,0.5018050541516246,3.136302248427332,3.741418289201445,0.002,0.139,0.07947189076627226,0.12557410576674904,1.0,0.8775660467708318,0.6399740757056264,1.0,0.8812260536398469,0.005557108131727463,0.01722746928164903,4.421550753529681,0.0
