Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M01_CFR_S5_Epo63.hdf5,0.00425531914893617,0.27014787002966045,4.576511571113958,0.0024,0.068,0.4386534383880024,0.8231360690929146,0.0,0.0,0.9935376675948405,0.3749999999999999,0.0,1.0,0.3495079896577983,2.718045657252639,0.99
M01_CFR_S3_Epo63.hdf5,0.00425531914893617,0.36162468119935215,4.599380773906381,0.0024,0.0681,0.4340857801114578,0.8221855950820185,0.0,0.30503398646761193,0.9999635914253081,0.3749999999999999,0.002020202020201798,0.7471245840814379,0.3384646729361423,2.767607036930702,0.99
M01_CFR_S2_Epo63.hdf5,0.00425531914893617,0.3621429787079952,4.599510348283541,0.0024,0.0684,0.4359910350135032,0.8219597508357294,0.0,0.30676227534449846,1.0,0.3749999999999999,0.008080808080808034,0.8526036056316411,0.33584064585813395,2.8782873349150813,0.99
M01_CFR_S1_Epo59.hdf5,0.006396588486140725,0.3321575924046765,4.560076841353633,0.0012,0.07450000000000001,0.4235861695294896,0.8791224874588188,0.4989339019189764,0.2067745101074097,0.9889197400451685,0.0,0.13131313131313146,0.16584349163799944,1.0,2.9917847750226856,0.991
M01_CFR_S4_Epo70.hdf5,0.008547008547008548,0.5700384239611141,1.0406130759579495,0.0044,0.1175,0.4205905584518381,0.7930546842025549,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.44799999999999995
