Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M05_RCFR_AC_NoSIM_W1_S5_Epo46.hdf5,0.4469565217391304,2.7793320743661325,3.3081673136419627,0.258,0.5155,0.12743352723429832,0.20308343144496138,0.6068776157598696,0.0,0.0,0.0,0.7349397590361444,0.05891141374297281,0.7886060744278608,2.1893348629668474,0.0
M05_RCFR_AC_NoSIM_W1_S3_Epo46.hdf5,0.44947735191637633,2.8100917703909576,3.3672216437219578,0.274,0.513,0.12922998203410366,0.20352998131254382,0.6849541868458899,0.3525717717665245,0.15597416776459427,0.285714285714286,0.7048192771084342,0.16332461098924744,0.8062499826710035,3.1536082828599796,0.0
M05_RCFR_AC_NoSIM_W1_S1_Epo46.hdf5,0.45964912280701753,2.7963059772233656,3.369650573988827,0.258,0.5375,0.12641994183730812,0.20843360262988914,1.0,0.19455715685023833,0.16238945308609395,0.0,1.0,0.0,1.0,3.3569466099363323,0.0
M05_RCFR_AC_NoSIM_W1_S4_Epo46.hdf5,0.42736248236953456,2.7793320743661325,3.329036364081464,0.314,0.53,0.1386285488898501,0.20645033155221476,0.0,0.0,0.05511929048944049,1.0,0.9096385542168681,0.7095862898512427,0.9216377487575784,3.5959818833151296,0.0
M05_RCFR_AC_NoSIM_W1_S2_Epo40.hdf5,0.43465045592705165,2.866575859853288,3.68678340710382,0.302,0.45449999999999996,0.1436251883692012,0.1831245916427121,0.2257272190220251,1.0,1.0,0.7857142857142855,0.0,1.0,0.0,4.011441504736311,0.0
