Model,GroupM,EpNum,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,MaxSurvpVal,Metrics
M08_RCFR_AC_W3_S4_Epo60.hdf5,4,60,0.27755102040816326,0.5214773109368063,1.0119084914997845,0.6948509485094851,0.7933604336043361,0.24679343026012768,0.3893851720485151,0.019,0.6329907567180166
M08_RCFR_AC_W3_S3_Epo60.hdf5,3,60,0.26720647773279355,0.5150712170066274,1.0616760476405602,0.6899728997289973,0.7944444444444445,0.23964284868393737,0.38794615657044473,0.022,0.6299488284555739
M08_RCFR_AC_W3_S1_Epo60.hdf5,1,60,0.2880658436213992,0.5446271312130694,0.9986735633744378,0.7260556127703398,0.796086508753862,0.24064759325070442,0.38414686399898795,0.015,0.5972108886628571
M08_RCFR_AC_W3_S2_Epo60.hdf5,2,60,0.3068893528183716,0.4837436363043262,0.9502736963901429,0.7103377686796315,0.7954196519959058,0.24914347850157512,0.380164515356006,0.027,0.5892862904416426
M08_RCFR_AC_W3_S5_Epo61.hdf5,5,61,0.10211267605633803,0.7279617799269852,1.3591971479531606,0.6962338949454906,0.8405599603567889,0.22652060352346895,0.49785921174496606,0.002,0.5803327126727625
