Model,GroupM,EpNum,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,MaxSurvpVal,Metrics
M04_RCFR_AC_NoCL_W3_S3_Epo63.hdf5,3,63,0.17121588089330025,2.323783316960934,2.518685825546295,0.3411111111111111,0.6519444444444444,0.138044682330085,0.30996582413720175,0.0,0.5599745916466823
M04_RCFR_AC_NoCL_W3_S5_Epo63.hdf5,5,63,0.1949367088607595,2.3432880751733274,2.5684924223501446,0.29444444444444445,0.616111111111111,0.12095933152423506,0.2768853902180058,0.0,0.5488823189048405
M04_RCFR_AC_NoCL_W3_S2_Epo65.hdf5,2,65,0.27607361963190186,1.799034563788684,3.4206207027661333,0.016666666666666666,0.18861111111111112,0.07145695017824945,0.142210351008339,0.0,0.42436642476450753
M04_RCFR_AC_NoCL_W3_S4_Epo34.hdf5,4,34,0.38011695906432746,3.8538823166451084,5.213194298837666,0.0022222222222222222,0.14722222222222223,0.059243468168271606,0.12111840757633423,0.0,0.42140383176697566
M04_RCFR_AC_NoCL_W3_S1_Epo62.hdf5,1,62,0.011308562197092083,0.6569843369590358,1.1683533710833005,0.0,0.008333333333333333,0.2845420469677829,0.6628923059537144,0.014,0.38849018623736975
