Model,GroupM,EpNum,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,MaxSurvpVal,Metrics
M08_RCFR_AC_W3_S4_Epo60.hdf5,4,60,0.27755102040816326,0.5214773109368083,1.011908491499789,0.6885813148788927,0.7942906574394464,0.2446376672378642,0.38836003465317465,0.019,0.6320184100772341
M08_RCFR_AC_W3_S3_Epo60.hdf5,3,60,0.26720647773279355,0.5150712170066286,1.0616760476405593,0.6948096885813149,0.7941176470588235,0.23729705415474045,0.3870206217078658,0.022,0.6287644585179195
M08_RCFR_AC_W3_S1_Epo60.hdf5,1,60,0.2880658436213992,0.5446271312130693,0.9986735633744377,0.7120622568093385,0.7965304798962387,0.2424232265450888,0.3880027808681199,0.015,0.595982708370313
M08_RCFR_AC_W3_S2_Epo60.hdf5,2,60,0.3068893528183716,0.48374363630432504,0.9502736963901428,0.6994851994851995,0.7971364221364221,0.24893088663539134,0.38348314938883743,0.027,0.5867142421911636
M08_RCFR_AC_W3_S5_Epo61.hdf5,5,61,0.10211267605633803,0.7279617799269862,1.3591971479531608,0.6934487021013597,0.8380716934487021,0.22631922677209787,0.4996901636100894,0.002,0.5790022113121931
