Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M08_RCFR_AC_W3_S2_Epo50.hdf5,0.2586666666666666,1.3382156000006329,2.958414506077353,0.2905569007263922,0.5968523002421308,0.1560766819127396,0.3478148552018029,0.6945464757090705,0.18415099381048006,0.054440538248355826,0.20569384409002814,0.40024077924920715,0.22075918380668327,0.7348728164393419,2.4947046313531667,0.0
M08_RCFR_AC_W3_S3_Epo50.hdf5,0.2606060606060606,1.370645114744259,2.950303476336896,0.2663438256658595,0.5950363196125908,0.1520000880506494,0.3444164736673193,0.7457813178116486,1.0,0.0,0.0,0.37758564080113927,0.0,0.6670310273921325,2.79039798600492,0.0
M08_RCFR_AC_W3_S4_Epo50.hdf5,0.2606060606060606,1.3596099812037703,2.972561127597515,0.2760290556900726,0.5962469733656174,0.1553035975354087,0.3431039560678153,0.7457813178116486,0.7223824407071678,0.14939145257086164,0.08227753763601126,0.3926890664331836,0.17889445998900055,0.6408292777643255,2.912245552912199,0.0
M08_RCFR_AC_W3_S1_Epo51.hdf5,0.2702290076335877,1.3515284541284682,3.099292263028433,0.3099273607748184,0.5647699757869249,0.1530288334370055,0.31100305756711,1.0,0.5190705538348932,1.0,0.3702489193620516,0.0,0.05570949658458652,0.0,2.9450289697815313,0.0
M08_RCFR_AC_W3_S5_Epo50.hdf5,0.2323759791122715,1.330895707074952,2.9680005269440057,0.3840579710144927,0.644927536231884,0.1704663361667868,0.3610958039732923,0.0,0.0,0.1187810908464492,1.0,1.0,1.0,1.0,4.118781090846449,0.0
