Model,GroupM,EpNum,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,MaxSurvpVal,Metrics
M02_RCFR_NoGROM_S1_Epo80.hdf5,1,80,0.004830917874396135,1.2530150188696372,8.322549310966224,0.0,0.0115,0.10809398564359611,0.6767437738105567,0.995,0.37010808633711356
M02_RCFR_NoGROM_S4_Epo80.hdf5,4,80,0.004830917874396135,1.134504112177318,8.289741929819513,0.0,0.0115,0.10985018198677196,0.6781900124043081,0.995,0.3584632052688153
M02_RCFR_NoGROM_S5_Epo80.hdf5,5,80,0.004830917874396135,1.1834268527408698,8.305152269434032,0.0,0.012,0.10813256560297359,0.6788455090694135,0.995,0.35566632223857547
M02_RCFR_NoGROM_S3_Epo80.hdf5,3,80,0.004830917874396135,1.2530150188696372,8.314957088872234,0.0,0.0115,0.10878866504217086,0.6781858890100603,0.995,0.35523346745509976
M02_RCFR_NoGROM_S2_Epo80.hdf5,2,80,0.004830917874396135,1.1834268527408698,8.297560047340042,0.0,0.012,0.10787933253444103,0.6763323219614092,0.995,0.3548537050502299
