Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_AC_NoCL_W1_S1_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.3760798745405194,0.22,0.38416666666666666,0.11338071404715867,0.18259499371454513,0.0,0.0,0.08318537938790174,0.49090909090909085,0.663716814159292,0.032427906738944724,0.7542054072816633,2.024444598476893,0.0
M04_RCFR_AC_NoCL_W1_S3_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.3639293634193566,0.22333333333333333,0.41583333333333333,0.11489544209695945,0.1897555486930056,0.0,0.0,0.05421778750777024,0.509090909090909,0.831858407079646,0.28265398460196334,0.9616530172373146,2.6394741055176034,0.0
M04_RCFR_AC_NoCL_W1_S4_Epo54.hdf5,0.4197952218430034,2.577602021592821,3.760639498615885,0.13,0.25916666666666666,0.11318441372405369,0.15656177364010293,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
M04_RCFR_AC_NoCL_W1_S5_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.345966126013727,0.23666666666666666,0.40750000000000003,0.11923785172994367,0.18837935306316408,0.0,0.0,0.01139228619154275,0.5818181818181817,0.7876106194690267,1.0,0.921783412842012,3.302604500320763,0.0
M04_RCFR_AC_NoCL_W1_S2_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.3411876100556657,0.31333333333333335,0.4475,0.11556528772711697,0.19107918736201213,0.0,0.0,0.0,1.0,1.0,0.39330938893678163,1.0,3.393309388936782,0.0
