Model,GroupM,EpNum,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,MaxSurvpVal,Metrics
M04_RCFR_AC_NoCL_W3_S4_Epo93.hdf5,4,93,0.10405643738977072,0.8353359043079039,1.982478747809464,0.3,0.5125,0.14606013542248106,0.30396886062672546,0.001,0.50649653376212
M04_RCFR_AC_NoCL_W3_S1_Epo62.hdf5,1,62,0.011308562197092083,0.6569842204135059,1.1683648040558419,0.0,0.6091666666666666,0.2822818731614026,0.6503023386948289,0.014,0.5063385297071682
M04_RCFR_AC_NoCL_W3_S2_Epo93.hdf5,2,93,0.27494908350305497,1.2138228835041747,2.5964651391571056,0.11666666666666667,0.41500000000000004,0.13674843067518164,0.23438097986016176,0.0,0.5055176803957913
M04_RCFR_AC_NoCL_W3_S3_Epo93.hdf5,3,93,0.1891891891891892,0.21877134711819796,1.056921209013584,0.46,0.6725,0.1614764915197244,0.37421467007151854,0.28,0.4941198438275851
M04_RCFR_AC_NoCL_W3_S5_Epo92.hdf5,5,92,0.28016359918200406,1.2406781141514245,2.6952721749652406,0.12333333333333334,0.3975,0.1225704364778724,0.2274708583732096,0.0,0.4644960129361197
