Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M05_RCFR_AC_NoSIM_W1_S3_Epo46.hdf5,0.44947735191637633,2.8100917703909576,3.3672216437219578,0.0,0.041499999999999995,0.12922998203410366,0.20352998131254382,0.0,0.4901720598154262,0.0,0.0,0.0,1.0,0.9383119927229084,2.4284840525383347,0.0
M05_RCFR_AC_NoSIM_W1_S1_Epo46.hdf5,0.45964912280701753,2.7963059772233656,3.369650573988827,0.0,0.043,0.12641994183730812,0.20843360262988914,0.22829152014040255,0.4701292549722162,0.005187848303561305,0.0,0.007352941176470594,0.9498187038990794,1.0,2.66078026849173,0.0
M05_RCFR_AC_NoSIM_W1_S2_Epo77.hdf5,0.49403341288782815,2.4729428191334075,3.4263695897664803,0.042,0.17550000000000002,0.08383461669193308,0.13781777751373725,1.0,0.0,0.1263315689757138,1.0,0.6568627450980392,0.18933605560423158,0.11164642379006035,3.084176793468045,0.0
M05_RCFR_AC_NoSIM_W1_S4_Epo67.hdf5,0.4673721340388007,2.9759332301023664,3.807094219404476,0.0,0.2455,0.07323222161069394,0.13989595643593733,0.4016239706173753,0.7312846292193267,0.9395050268276736,0.0,1.0,0.0,0.1377901058118157,3.210203732476191,0.0
M05_RCFR_AC_NoSIM_W1_S5_Epo73.hdf5,0.49371633752244165,3.1607603813675813,3.835417729024225,0.002,0.166,0.08665453273616916,0.1289429279624596,0.9928836760145907,1.0,1.0,0.047619047619047616,0.6102941176470589,0.23969371317685872,0.0,3.890490554457556,0.0
