Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M06_RCFR_AC_W1_S1_Epo01.hdf5,0.048299999999999996,0.0,0.0,0.06486577028987504,0.05418349252904823,0.11385831720780222,0.0642926249367393,0.572,0.66,0.5643955181193584,0.5168513344916992,0.0,0.0,0.0,0.0,0.7535014005602241,1,1
M06_RCFR_AC_W1_S1_Epo02.hdf5,0.15189999999999998,0.0061,0.0,0.08960587440366476,0.06260798496166957,0.17146022595557595,0.03748393906887471,0.54825,0.825,0.5779603565186237,0.43823499246494924,0.0029,0.0,0.0032,0.0,0.5521472392638037,1,2
M06_RCFR_AC_W1_S1_Epo03.hdf5,0.4558,0.3051,0.034,0.16419700500410211,0.10109262028229161,0.42176938811184006,0.2050595397932173,0.117,0.387,0.8895851931634113,0.6790910949266368,0.27649999999999997,0.0316,0.0286,0.0004,0.4804270462633452,1,3
M06_RCFR_AC_W1_S1_Epo04.hdf5,0.3978,0.29460000000000003,0.0,0.15740038117874658,0.07812915231038241,1.0285790033568838,0.5090197755970073,0.01025,0.041,0.98980235222721,0.9598291299477989,0.2549,0.0,0.0397,0.0,0.5407407407407407,1,4
M06_RCFR_AC_W1_S1_Epo05.hdf5,0.39,0.292,0.0004,0.1593113847417226,0.07566948295946621,1.4578471967100264,0.8644797783288894,0.0,0.0,1.0,1.0,0.24780000000000002,0.0004,0.0442,0.0,0.5475409836065573,1,5
M06_RCFR_AC_W1_S1_Epo06.hdf5,0.405,0.2996,0.0176,0.16378510251462372,0.0705841136912795,1.7565934640259937,1.012682670936897,0.0,0.0,1.0,1.0,0.24589999999999998,0.0176,0.053700000000000005,0.0,0.5225806451612903,1,6
M06_RCFR_AC_W1_S1_Epo07.hdf5,0.4071,0.2979,0.0148,0.1636263423217138,0.07216398543492894,2.5070045737533055,1.2304993721065258,0.0,0.0,1.0,1.0,0.2531,0.0148,0.044800000000000006,0.0,0.5407407407407407,1,7
M06_RCFR_AC_W1_S1_Epo08.hdf5,0.4058,0.3016,0.0008,0.16545936367983205,0.07162089761828902,2.641048560537651,1.3275346432294606,0.0,0.0,1.0,1.0,0.25470000000000004,0.0008,0.0469,0.0,0.5464684014869888,1,8
M06_RCFR_AC_W1_S1_Epo09.hdf5,0.4148,0.3053,0.008,0.16830080991238328,0.07280185471342407,3.0799882649590016,1.554231055520728,0.0,0.0,1.0,1.0,0.26120000000000004,0.008,0.0441,0.0,0.5407407407407407,1,9
M06_RCFR_AC_W1_S1_Epo10.hdf5,0.4181,0.31310000000000004,0.0356,0.16874194048218694,0.07563438622636495,3.5892183069263206,2.488903270529926,0.0,0.0,1.0,1.0,0.26689999999999997,0.0348,0.046200000000000005,0.0,0.5154826958105647,1,10
