Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M06_RCFR_AC_W1_S5_Epo52.hdf5,0.4101694915254237,2.3309638280472975,3.4658994206696283,0.1832,0.36560000000000004,0.11064673590710895,0.1740012931312413,0.23227118644067768,0.7573764737338287,0.9615455960419637,0.0,0.0,0.0,0.0,1.95119325621647,0.0
M06_RCFR_AC_W1_S4_Epo52.hdf5,0.3959731543624161,2.403263323769568,3.3609757303147663,0.2076,0.3824,0.11639136489194048,0.1761184760401706,0.0,1.0,0.7573085820114532,0.12007874015748032,0.12008577555396696,0.19753414443905465,0.051769585419617896,2.246776827581573,0.0
M06_RCFR_AC_W1_S3_Epo52.hdf5,0.3959731543624161,2.3951802469501904,3.4856547916185545,0.204,0.379,0.11643502092806025,0.1754638133137172,0.0,0.9728747125909255,1.0,0.10236220472440936,0.09578270192994971,0.19903529582190124,0.035761701643855726,2.405816616711041,0.0
M06_RCFR_AC_W1_S2_Epo55.hdf5,0.45709281961471104,2.105272865733961,2.988362949225302,0.296,0.5026,0.12370223481804028,0.21489756247101888,1.0,0.0,0.0320069695544909,0.5551181102362204,0.9792709077912793,0.44892486780353197,1.0,4.015320855385522,0.0
M06_RCFR_AC_W1_S1_Epo55.hdf5,0.4101694915254237,2.3507530093173776,2.971919850609342,0.3864,0.5055000000000001,0.13972843720560987,0.21023176954527545,0.23227118644067768,0.8237852487010979,0.0,1.0,1.0,1.0,0.8859115268686558,4.941967962010431,0.0
