Model,GroupM,EpNum,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,MaxSurvpVal,Metrics
M05_RCFR_AC_NoSIM_W3_S1_Epo85.hdf5,1,85,0.03282275711159737,2.025005242755079,2.1877605114113012,0.148,0.6935,0.12227317295262685,0.541227337535869,0.03,0.6375338299586232
M05_RCFR_AC_NoSIM_W3_S4_Epo85.hdf5,4,85,0.03282275711159737,1.961741695004553,2.1709946402900857,0.174,0.6875,0.12969493579011632,0.5376131053566949,0.03,0.6331583445259419
M05_RCFR_AC_NoSIM_W3_S5_Epo85.hdf5,5,85,0.03282275711159737,2.026903740802606,2.237211364726689,0.246,0.7025,0.14870979925562658,0.5480059509877111,0.017,0.6102619889464824
M05_RCFR_AC_NoSIM_W3_S3_Epo85.hdf5,3,85,0.02832244008714597,1.925187910411403,2.0786695849538033,0.166,0.6815,0.1343765481217954,0.5388374496304058,0.042,0.5847154228890157
M05_RCFR_AC_NoSIM_W3_S2_Epo90.hdf5,2,90,0.0776255707762557,2.298341801531365,3.20791719342093,0.098,0.6075,0.09074330696601098,0.34001205485699665,0.0,0.5183410199520455
