Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinPosSigRate,AvgPosSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinPosSigRate,NormAvgPosSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M04_RCFR_AC_NoCL_W1_S1_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.3760798745405194,0.24571428571428572,0.4014285714285714,0.11503739691274116,0.18553231837141254,0.0,0.0,1.0,0.0,0.307142857142857,0.0,0.425970979592181,1.733113836735038,0.0
M04_RCFR_AC_NoCL_W1_S5_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.345966126013727,0.24571428571428572,0.4267857142857143,0.11858945722692003,0.19283589923410505,0.0,0.0,0.13695058284724987,0.0,0.8142857142857154,0.7117878835639375,1.0,2.663024180696903,0.0
M04_RCFR_AC_NoCL_W1_S3_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.3639293634193566,0.2571428571428571,0.42000000000000004,0.11747350327092611,0.18975088406552015,0.0,0.0,0.6517706345359955,0.1818181818181814,0.6785714285714296,0.48816484954027606,0.7575315083848883,2.757856602850771,0.0
M04_RCFR_AC_NoCL_W1_S4_Epo55.hdf5,0.3841642228739003,2.1996010916474833,3.3688146464434667,0.24857142857142858,0.38607142857142857,0.11649985896297953,0.18011253403298041,1.0,1.0,0.791781123858946,0.045454545454545574,0.0,0.2930588659704058,0.0,3.1302945352838973,0.0
M04_RCFR_AC_NoCL_W1_S2_Epo55.hdf5,0.37209302325581395,2.1341424147228913,3.3411876100556657,0.30857142857142855,0.43607142857142855,0.12002773237109939,0.19199526559861707,0.0,0.0,0.0,1.0,1.0,1.0,0.9339299295273179,3.933929929527318,0.0
