Model,IndCentRatio,MinABSSurvCoef,AvgABSSurvCoef,MinNegSigRate,AvgNegSigRate,MinABSGeCohD,AvgABSGeCohD,NormIndCentRatio,NormMinABSSurvCoef,NormAvgABSSurvCoef,NormMinNegSigRate,NormAvgNegSigRate,NormMinABSGeCohD,NormAvgABSGeCohD,Metrics,MaxSurvpVal
M06_RCFR_AC_W1_S4_Epo26.hdf5,0.41256366723259763,2.443862775529642,3.227251435598662,0.1968,0.4297,0.11496463589782462,0.2680228978721126,1.0,0.20304743409260137,1.0,0.09401709401709432,0.0,0.0,0.22971305088799887,2.5267775789976947,0.0
M06_RCFR_AC_W1_S5_Epo26.hdf5,0.3959731543624161,2.3576697915901352,3.1007519013708196,0.1924,0.4507,0.12445191664530057,0.2654321273483715,0.7942868548843343,0.0,0.383554371279909,0.0,0.7894736842105262,0.8204010192136111,0.0,2.7877159295883804,0.0
M06_RCFR_AC_W1_S3_Epo27.hdf5,0.33191489361702126,2.730445381695231,3.050963489999222,0.2332,0.4441,0.12055490127451453,0.2691133183942287,0.0,0.8781587967335908,0.14093016923613738,0.8717948717948717,0.5413533834586463,0.4834113730566176,0.3263961892017997,3.2420447834816635,0.0
M06_RCFR_AC_W1_S2_Epo27.hdf5,0.3347547974413646,2.7821665813412326,3.061868821872709,0.2392,0.44530000000000003,0.12061133153074838,0.26778736670701647,0.035213230121516115,1.0,0.19407300651366285,1.0,0.5864661654135349,0.488291110566341,0.2088294635468451,3.5128729761619004,0.0
M06_RCFR_AC_W1_S1_Epo27.hdf5,0.3347547974413646,2.7145757675754076,3.0220435010554487,0.2392,0.4563,0.12652883502152867,0.2767104178665896,0.035213230121516115,0.8407742640281056,0.0,1.0,1.0,1.0,1.0,4.875987494149622,0.0
